item_name,url,thumbnail_url,price
Up to 30% off Health Care products by Amazon Basic Care,https://www.amazon.com/deal/fe338c83?showVariations=true&ref=dlx_deals_gd_dcl_img_38_fe338c83_dt_sl15_bd,https://m.media-amazon.com/images/I/5165wyRNWJL.jpg,3.86
"ArtCreativity Bubble Lawn Mower - Electronic Bubble Blower Machine - Fun Bubbles Blowing Push Toys for Kids - Bubble Solution Included - Birthday Gift for Boys, Girls, Toddlers",https://www.amazon.com/gp/slredirect/picassoRedirect.html?id=6003989921217217&adId=A06289667I1FSPJ240P4&qualifier=1640882717&widgetName=sp_gb_main_supple&url=https%3A%2F%2Fwww.amazon.com%2FArtCreativity-Bubble-Lawn-Mower-Electronic%2Fdp%2FB07RJYZHN1%3Fref%3Ddlx_deals_gd_dcl_img_39_8e85daed_dt_sl15_bd,https://m.media-amazon.com/images/I/51-cAD-GZDL.jpg,20.37
Up to 27% off Vitamix Blenders,https://www.amazon.com/deal/fb5fb4b0?showVariations=true&ref=dlx_deals_gd_dcl_img_40_fb5fb4b0_dt_sl15_bd,https://m.media-amazon.com/images/I/41rGq-FrvUL.jpg,289.95
"Wireless Microphone, TONOR UHF Dual Cordless Metal Dynamic Mic System with Rechargeable Receiver, for Karaoke Singing, Wedding, DJ, Party, Speech, Church, Class Use, 200ft (TW-630)",https://www.amazon.com/gp/slredirect/picassoRedirect.html?id=6003989921217217&adId=A03384873JSGAJQFM8T6M&qualifier=1640882717&widgetName=sp_gb_main_supple&url=https%3A%2F%2Fwww.amazon.com%2FWireless-Microphone-TONOR-Rechargeable-TW-630%2Fdp%2FB0859S2NTJ%3Fref%3Ddlx_deals_gd_dcl_img_41_30117293_dt_sl15_bd,https://m.media-amazon.com/images/I/41cxbwirsEL.jpg,56.99
"Solar Lights Outdoor, 210 LED 2500LM Solar Flood Security Lights with Motion Sensor Wireless 25FT IP65 Waterproof 3 Heads Spot Flood Wall Lights for Porch Garage Yard Entryways Patio (Black, 2pcs)",https://www.amazon.com/gp/slredirect/picassoRedirect.html?id=6003989921217217&adId=A0515486L0KW5XCJ377S&qualifier=1640882717&widgetName=sp_gb_main_supple&url=https%3A%2F%2Fwww.amazon.com%2FOutdoor-Security-Wireless-Waterproof-Entryways%2Fdp%2FB08TN185SV%3Fref%3Ddlx_deals_gd_dcl_img_42_4d18120a_dt_sl15_bd,https://m.media-amazon.com/images/I/51CvJogo7zL.jpg,33.99
"USB C Hub Multiport Adapter, Dockteck 7-in-1 USB-C Hub with 4K 60Hz HDMI, 1Gbps Ethernet, 100W Power Delivery, SD/TF Card Slots, USB 3.0 5Gbps Data Ports, for MacBook Pro, MacBook Air, iPad Pro, XPS",https://www.amazon.com/gp/slredirect/picassoRedirect.html?id=6003989921217217&adId=A00350262J3Y9CZFM2GA5&qualifier=1640882717&widgetName=sp_gb_main_supple&url=https%3A%2F%2Fwww.amazon.com%2FMultiport-Adapter-Dockteck-Ethernet-Delivery%2Fdp%2FB08SLS9W72%3Fref%3Ddlx_deals_gd_dcl_img_43_fa0a4b91_dt_sl15_bd,https://m.media-amazon.com/images/I/41xdQGcuikS.jpg,34.84
Up to 20% off Levoit Air Purifier Filters,https://www.amazon.com/deal/eafbfe44?showVariations=true&ref=dlx_deals_gd_dcl_img_44_eafbfe44_dt_sl15_bd,https://m.media-amazon.com/images/I/515E-Z5ezJL.jpg,24.99
Instant Vortex Plus 4 Quart Air Fryer,https://www.amazon.com/Instant-Touchscreen-Customizable-Programs-Stainless/dp/B08R6KMBQT?ref=dlx_deals_gd_dcl_img_45_e59fc193_dt_sl15_bd,https://m.media-amazon.com/images/I/41WAoH5H6NL.jpg,79.95
Up to 20% off Tuft & Needle mattresses and pillows,https://www.amazon.com/deal/8ea3d4c8?showVariations=false&ref=dlx_deals_gd_dcl_img_46_8ea3d4c8_dt_sl15_bd,https://m.media-amazon.com/images/I/91OIu6xam3L.jpg,72.25
"WEMAX Nova Short Throw Laser Projector – 4K Resolution UHD HDR10 Display – Smart Laser TV for Movies, Video, Gaming, High FPS Rate – Voice Command Remote – 5K+ Apps Wireless Connectivity",https://www.amazon.com/WeMax-Nova-Smart-Laser-Projector/dp/B08DK18VM9?ref=dlx_deals_gd_dcl_img_47_7185f054_dt_sl15_bd,https://m.media-amazon.com/images/I/41S6NkItJXL.jpg,"2,152.46"
Up to 31% Instant Pot Vortex Air Fryer Ovens,https://www.amazon.com/deal/763659bc?showVariations=true&ref=dlx_deals_gd_dcl_img_48_763659bc_dt_sl15_bd,https://m.media-amazon.com/images/I/517ZDIeX2AL.jpg,99.95
Up to 80% off Holiday Decor - Boxing Day Deal,https://www.amazon.com/deal/bb669bfc?showVariations=true&ref=dlx_deals_gd_dcl_img_49_bb669bfc_dt_sl15_bd,https://m.media-amazon.com/images/I/41juAKJNAyL.jpg,8.35
UEU Women's Long Sleeve Open Front Button Down Cable Knit Cardigan Sweater with Pockets,https://www.amazon.com/UEU-Cardigan-Sweaters-Outwear-Pockets/dp/B08GJSGV2L?ref=dlx_deals_gd_dcl_img_50_f043b94a_dt_sl15_bd,https://m.media-amazon.com/images/I/41xsGBSBIxL.jpg,30.57
3 Pack Compatible Ink Cartridge Replacement for Canon PG 245XL 246XL (2 Black 1 Tri-Color) 245 XL with Ink Level Used in PIXMA iP2820 MG2420 MG2520 MG2920 MG2922 MG2924 MX492 MX490 Printer,https://www.amazon.com/gp/slredirect/picassoRedirect.html?id=6003989921217217&adId=A00636413IXCNHCBK05WQ&qualifier=1640882717&widgetName=sp_gb_main_supple&url=https%3A%2F%2Fwww.amazon.com%2FRemanufactured-Cartridge-Replacement-Tri-Color-Indicator%2Fdp%2FB06Y3WCWXN%3Fref%3Ddlx_deals_gd_dcl_img_51_7ddbf07d_dt_sl15_bd,https://m.media-amazon.com/images/I/51dlwp8YuFL.jpg,45.89
"Motorola MoCA Adapter for Ethernet Over Coax, Plug and Play, Ultra Fast Speeds, Boost Home Network for Better Streaming and Gaming (2.5 Gbps (2 Pack))",https://www.amazon.com/Motorola-Adapter-Ethernet-Network-Streaming/dp/B08XWWZTLP?ref=dlx_deals_gd_dcl_img_52_0f4856ff_dt_sl15_bd,https://m.media-amazon.com/images/I/41wKPIwdNDL.jpg,115.58
"Webcam HD 1080p Web Camera, USB PC Computer Webcam with Microphone, Laptop Desktop Full HD Camera Video Webcam 110 Degree Widescreen, Pro Streaming Webcam for Recording, Calling, Conferencing, Gaming",https://www.amazon.com/gp/slredirect/picassoRedirect.html?id=6003989921217217&adId=A05907382Q4ZWDO5K4E2T&qualifier=1640882717&widgetName=sp_gb_main_supple&url=https%3A%2F%2Fwww.amazon.com%2FMicrophone-110-Degree-Widescreen-Streaming-Conferencing%2Fdp%2FB084ZJFNKN%3Fref%3Ddlx_deals_gd_dcl_img_53_e51f073c_dt_sl15_bd,https://m.media-amazon.com/images/I/41JpOzQQFUL.jpg,19.99
"Degrees of Comfort [Advanced Microplush Heated Blanket for Bed & Living Room | Machine Washable Electric Blanket W/Auto Shut Off, Preheat Setting | UL Certified",https://www.amazon.com/Degrees-Comfort-Advanced-Controller-Certified/dp/B09C1YCLSW?ref=dlx_deals_gd_dcl_img_54_18d8e8cf_dt_sl15_bd,https://m.media-amazon.com/images/I/51Z5eUUvCvL.jpg,49.99
"eureka NEU182A PowerSpeed Bagless Upright Vacuum Cleaner, Lite, Blue",https://www.amazon.com/Eureka-NEU182A-PowerSpeed-Lightweight-Bagless/dp/B07B2TNKL3?ref=dlx_deals_gd_dcl_img_55_681cc628_dt_sl15_bd,https://m.media-amazon.com/images/I/41GQ+FotTCL.jpg,67.99
Save on select digital EA action titles for PC,https://www.amazon.com/stores/page/preview?isSlp=1&isPreview=1&asins=B07DGL3SKP%2CB07DMJHS9W%2CB07QGVS1S8%2CB086QN8C57%2CB00IRLHE8A%2CB0047O2L70%2CB004JHYZKQ%2CB0088TPV54%2CB00JU9NV3K%2CB0167AK9Y8%2CB07B7GYW18%2CB08YKFCZNC%2CB094QDR29D%2CB094QBN1DY%2CB09G5C8RVL%2CB093XM263G%2CB00ZQ2SWK2%2CB07Z5Q3HJY%2CB00ZPSIMI4%2CB07T4M5MF7%2CB00PZ0DT4E%2CB01H0LFJWA%2CB00ZPW7FJM%2CB07DM7JVCY%2C&ref=dlx_deals_gd_dcl_img_56_ed22f25e_dt_sl15_bd,https://m.media-amazon.com/images/I/51ZytCUE4rL.jpg,1.99
Up to 40% off Select Sigma Lenses,https://www.amazon.com/b/?node=23659934011&ref=dlx_deals_gd_dcl_img_57_dfa04b38_dt_sl15_bd,https://m.media-amazon.com/images/I/41uipjjWXrL.jpg,174.00
"Sa gino Soft Fuzzy Faux Fur Throw Blanket 50""x60"", Solid Reversible Sherpa Blanket - Lightweight Fluffy Cozy Plush Fleece Comfy Microfiber Blanket for Couch Sofa Bed, Gray",https://www.amazon.com/Sagino-Fuzzy-Blanket-Reversible-Sherpa/dp/B08GLGPQTC?ref=dlx_deals_gd_dcl_img_58_d203225a_dt_sl15_bd,https://m.media-amazon.com/images/I/513ESBxk-5L.jpg,25.49
Save up to 50% off select Ray-Ban and Oakley Sunglasses,https://www.amazon.com/deal/823f82f1?searchAlias=fashion&ref=dlx_deals_gd_dcl_img_59_823f82f1_dt_sl15_bd,https://m.media-amazon.com/images/I/21NOAK5l5LL.jpg,64.50
